123,Dönər plovüstü,https://acqalma.az/uploads/tmp/images/51571b26/3a337812/d85b30a5/7ccbd393/151/201/r/plovustu.jpg, 5.00 M ,Adana Lahmacun (Yasamal)
124,Dönər İskəndər,https://acqalma.az/uploads/tmp/images/7e89d4a0/8d9a8bac/37fd5953/6458a8b3/151/201/r/iskenderdoner12.jpg, 7.00 M ,Adana Lahmacun (Yasamal)
125,Dönər Adana,https://acqalma.az/uploads/tmp/images/cabad0a7/2891ef1b/4f14a121/c790c882/151/201/r/23871.jpg, 7.00 M ,Adana Lahmacun (Yasamal)
126,Adana dürüm,https://acqalma.az/uploads/tmp/images/924f3ad2/46c1bd6a/065fd76c/928a340d/151/201/r/adanaduru.jpg, 3.50 M ,Adana Lahmacun (Yasamal)
127,Urfa dürüm,https://acqalma.az/uploads/tmp/images/e054a4a2/787f48e3/70b66c92/05d143d3/151/201/r/Urfadurum.jpg, 3.50 M ,Adana Lahmacun (Yasamal)
128,Quzu dürüm,https://acqalma.az/uploads/tmp/images/740fc3ed/42340641/c2edd917/686a0654/151/201/r/Quzudurum.jpg, 4.00 M ,Adana Lahmacun (Yasamal)
129,Dana dürüm,https://acqalma.az/uploads/tmp/images/f72cc5f1/09288e25/380dee39/7fe90011/151/201/r/DanaDurum.jpg, 3.50 M ,Adana Lahmacun (Yasamal)
130,Toyuq dürüm,https://acqalma.az/uploads/tmp/images/3ec796da/2a234334/4e589549/94267a4c/151/201/r/Toyuqdurum.jpg, 3.50 M ,Adana Lahmacun (Yasamal)
131,Ciyər dürüm,https://acqalma.az/uploads/tmp/images/b5405ccc/12c88caf/e1df9fa2/3da8ff37/151/201/r/CiyerDurum.jpg, 3.00 M ,Adana Lahmacun (Yasamal)
132,Cörəkdə dürüm,https://acqalma.az/uploads/tmp/images/35f59442/5a2b79df/44bf8cc9/b99c86e9/151/201/r/durumcore.jpg, 4.00 M ,Adana Lahmacun (Yasamal)
133,Lahmacun,https://acqalma.az/uploads/tmp/images/4a6d24ca/7fd38f7d/a7752692/5923cd7f/151/201/r/Lahmacun.jpg, 1.80 M ,Adana Lahmacun (Yasamal)
134,Lahmacun Pendirli,https://acqalma.az/uploads/tmp/images/273033e3/e3e526d4/1b9ae291/83624b8d/151/201/r/LahmacunPendrili.jpg, 2.30 M ,Adana Lahmacun (Yasamal)
135,Lahmacun Cevizli,https://acqalma.az/uploads/tmp/images/93e49e6a/761d4acc/9fd82733/2a896416/151/201/r/LahmacunCevizli.jpg, 2.50 M ,Adana Lahmacun (Yasamal)
136,Lahmacun Antep,https://acqalma.az/uploads/tmp/images/5f3281ef/f5acd599/b38209d6/da4e17ef/151/201/r/LahmacunAntep.jpg, 2.00 M ,Adana Lahmacun (Yasamal)
137,Lahmacun Qarışıq,https://acqalma.az/uploads/tmp/images/ebf7b739/3e47fcb6/cb088974/0c579b86/151/201/r/LahmacunQarisiq.jpg, 2.50 M ,Adana Lahmacun (Yasamal)
138,Pide Qiymalı,https://acqalma.az/uploads/tmp/images/ef6a6973/58705e74/6b2fbb67/88108d5b/151/201/r/PideQiymali.jpg, 5.00 M ,Adana Lahmacun (Yasamal)
139,Pide Pendirli,https://acqalma.az/uploads/tmp/images/066b39e1/d1ae1d29/e2a98651/e7bdfd8e/151/201/r/PidePendirli.jpeg, 5.00 M ,Adana Lahmacun (Yasamal)
